id_escola,nome_escola,rede,etapa,mesorregiao,municipio,ano,ideb,taxa_aprovacao,taxa_evasao,professores_por_aluno,infraestrutura_indice,internet_mbps,inclusao_ne_indice,paridade_genero,prof_math,prof_port,frequencia,lat,lon
10008,Escola Colégio Nabuco Albuquerque,Municipal,Fundamental,Agreste,João Pessoa,2022,4.62,97.1,3.46,0.073,0.49,20.9,0.61,1.07,0.47,0.6,97.3,-7.12579,-34.97444
10008,Escola Colégio Nabuco Albuquerque,Municipal,Fundamental,Agreste,João Pessoa,2023,4.3,95.8,2.46,0.062,0.69,26.8,0.88,0.98,0.58,0.81,100.0,-7.12579,-34.97444
10008,Escola Colégio Nabuco Albuquerque,Municipal,Fundamental,Agreste,João Pessoa,2024,4.48,86.8,4.33,0.064,0.76,43.3,0.98,1.02,0.56,0.73,98.5,-7.12579,-34.97444
10009,Escola Estadual Raquel Souto,Municipal,Fundamental,Litoral,João Pessoa,2019,4.97,95.7,5.51,0.085,0.66,37.0,0.83,0.97,0.61,0.57,93.2,-7.10725,-34.98828
10009,Escola Estadual Raquel Souto,Municipal,Fundamental,Litoral,João Pessoa,2020,4.66,96.2,4.28,0.059,0.79,29.7,0.68,0.89,0.71,0.84,88.8,-7.10725,-34.98828
10009,Escola Estadual Raquel Souto,Municipal,Fundamental,Litoral,João Pessoa,2021,4.59,97.3,5.9,0.071,0.88,35.7,0.91,1.01,0.72,0.82,97.4,-7.10725,-34.98828
10009,Escola Estadual Raquel Souto,Municipal,Fundamental,Litoral,João Pessoa,2022,4.73,95.4,4.61,0.06,0.77,30.8,0.82,0.95,0.6,0.66,97.4,-7.10725,-34.98828
10009,Escola Estadual Raquel Souto,Municipal,Fundamental,Litoral,João Pessoa,2023,4.3,99.5,5.95,0.089,0.64,5.0,0.88,0.98,0.32,0.81,97.8,-7.10725,-34.98828
10009,Escola Estadual Raquel Souto,Municipal,Fundamental,Litoral,João Pessoa,2024,5.29,99.5,5.62,0.054,0.78,45.9,0.76,1.03,0.65,0.68,94.6,-7.10725,-34.98828
10010,Escola Prof. Zélia Cavalcanti,Estadual,Fundamental,Litoral,João Pessoa,2019,4.46,95.0,10.37,0.067,0.53,46.2,0.68,0.94,0.62,0.7,98.2,-7.1481,-34.90969
10010,Escola Prof. Zélia Cavalcanti,Estadual,Fundamental,Litoral,João Pessoa,2020,4.61,96.4,11.08,0.069,0.57,65.7,0.8,1.0,0.65,0.93,89.4,-7.1481,-34.90969
10010,Escola Prof. Zélia Cavalcanti,Estadual,Fundamental,Litoral,João Pessoa,2021,4.53,94.3,11.49,0.094,0.49,51.4,0.7,1.0,0.55,0.74,92.8,-7.1481,-34.90969
10010,Escola Prof. Zélia Cavalcanti,Estadual,Fundamental,Litoral,João Pessoa,2022,5.28,94.6,10.09,0.083,0.56,65.0,0.85,1.08,0.6,0.6,86.5,-7.1481,-34.90969
10010,Escola Prof. Zélia Cavalcanti,Estadual,Fundamental,Litoral,João Pessoa,2023,5.24,94.9,10.62,0.08,0.76,77.8,1.0,0.95,0.56,0.78,94.7,-7.1481,-34.90969
10010,Escola Prof. Zélia Cavalcanti,Estadual,Fundamental,Litoral,João Pessoa,2024,4.81,98.9,11.24,0.088,0.63,67.6,0.89,1.04,0.79,0.74,91.3,-7.1481,-34.90969
10011,Escola Prof. Nabuco Souto,Municipal,Fundamental,Agreste,João Pessoa,2019,4.99,93.0,4.47,0.095,0.54,38.2,0.81,0.96,0.68,0.68,96.8,-7.08494,-35.05683
10011,Escola Prof. Nabuco Souto,Municipal,Fundamental,Agreste,João Pessoa,2020,5.12,89.8,5.18,0.076,0.61,37.6,0.6,1.03,0.56,0.69,93.5,-7.08494,-35.05683
10011,Escola Prof. Nabuco Souto,Municipal,Fundamental,Agreste,João Pessoa,2021,4.55,93.1,6.34,0.063,0.76,28.9,0.66,0.97,0.7,0.78,96.5,-7.08494,-35.05683
10011,Escola Prof. Nabuco Souto,Municipal,Fundamental,Agreste,João Pessoa,2022,4.82,90.2,5.95,0.068,0.63,59.9,0.87,0.97,0.53,0.61,92.3,-7.08494,-35.05683
10011,Escola Prof. Nabuco Souto,Municipal,Fundamental,Agreste,João Pessoa,2023,5.16,92.5,5.3,0.083,0.68,31.5,0.85,1.02,0.68,0.74,88.2,-7.08494,-35.05683
10011,Escola Prof. Nabuco Souto,Municipal,Fundamental,Agreste,João Pessoa,2024,5.47,87.2,5.21,0.084,0.7,23.6,0.64,0.96,0.53,0.68,85.6,-7.08494,-35.05683
10012,Escola Municipal Anísio Pereira,Municipal,Fundamental,Litoral,João Pessoa,2019,4.96,79.8,4.16,0.065,0.72,33.7,0.9,0.95,0.74,0.69,86.5,-7.06507,-34.94525
10012,Escola Municipal Anísio Pereira,Municipal,Fundamental,Litoral,João Pessoa,2020,4.96,81.4,3.85,0.082,0.85,48.2,0.93,1.06,0.66,0.66,92.6,-7.06507,-34.94525
10012,Escola Municipal Anísio Pereira,Municipal,Fundamental,Litoral,João Pessoa,2021,5.2,88.5,3.87,0.102,0.9,52.6,0.77,1.05,0.82,0.63,98.9,-7.06507,-34.94525
10012,Escola Municipal Anísio Pereira,Municipal,Fundamental,Litoral,João Pessoa,2022,4.94,80.0,2.27,0.086,1.0,40.6,0.72,0.98,0.46,0.8,90.0,-7.06507,-34.94525
10012,Escola Municipal Anísio Pereira,Municipal,Fundamental,Litoral,João Pessoa,2023,4.75,79.7,2.85,0.085,0.94,28.7,0.89,0.97,0.79,0.76,92.1,-7.06507,-34.94525
10012,Escola Municipal Anísio Pereira,Municipal,Fundamental,Litoral,João Pessoa,2024,5.83,79.9,3.91,0.096,0.63,11.8,0.91,1.0,0.51,0.54,89.3,-7.06507,-34.94525
10013,Escola Prof. Ariano Carvalho,Municipal,Fundamental,Agreste,João Pessoa,2019,4.9,92.3,2.62,0.091,0.61,8.9,0.74,0.92,0.46,0.8,90.1,-7.12711,-34.92372
10013,Escola Prof. Ariano Carvalho,Municipal,Fundamental,Agreste,João Pessoa,2020,5.17,89.9,3.83,0.09,0.55,27.6,0.62,0.96,0.8,0.77,90.6,-7.12711,-34.92372
10013,Escola Prof. Ariano Carvalho,Municipal,Fundamental,Agreste,João Pessoa,2021,5.6,91.0,5.17,0.09,0.59,38.6,0.75,0.97,0.61,0.68,94.9,-7.12711,-34.92372
10013,Escola Prof. Ariano Carvalho,Municipal,Fundamental,Agreste,João Pessoa,2022,5.17,90.1,3.15,0.089,0.5,40.2,0.88,0.84,0.87,0.67,96.4,-7.12711,-34.92372
10013,Escola Prof. Ariano Carvalho,Municipal,Fundamental,Agreste,João Pessoa,2023,4.98,87.7,6.23,0.078,0.58,38.3,0.87,1.0,0.64,0.72,100.0,-7.12711,-34.92372
10013,Escola Prof. Ariano Carvalho,Municipal,Fundamental,Agreste,João Pessoa,2024,5.53,93.8,5.63,0.086,0.61,17.9,0.94,0.92,0.66,0.6,91.7,-7.12711,-34.92372
10014,Escola Municipal Nabuco Queiroz,Municipal,Médio,Litoral,João Pessoa,2019,4.46,80.9,7.73,0.057,0.81,52.5,0.91,1.06,0.38,0.79,100.0,-7.1314,-34.94397
10014,Escola Municipal Nabuco Queiroz,Municipal,Médio,Litoral,João Pessoa,2020,5.01,86.2,8.25,0.075,0.62,19.3,0.78,1.06,0.69,0.69,92.4,-7.1314,-34.94397
10014,Escola Municipal Nabuco Queiroz,Municipal,Médio,Litoral,João Pessoa,2021,4.24,89.7,6.62,0.079,0.84,49.7,0.91,0.98,0.73,0.66,87.3,-7.1314,-34.94397
10014,Escola Municipal Nabuco Queiroz,Municipal,Médio,Litoral,João Pessoa,2022,4.35,84.6,7.99,0.075,0.68,70.2,0.83,0.99,0.91,0.78,93.0,-7.1314,-34.94397
10014,Escola Municipal Nabuco Queiroz,Municipal,Médio,Litoral,João Pessoa,2023,4.77,86.6,9.32,0.065,0.81,42.7,0.87,0.95,0.52,0.66,90.2,-7.1314,-34.94397
10014,Escola Municipal Nabuco Queiroz,Municipal,Médio,Litoral,João Pessoa,2024,4.73,95.1,8.66,0.076,0.75,52.4,0.73,0.93,0.64,0.71,85.5,-7.1314,-34.94397
10015,Escola Prof. Anísio Queiroz,Municipal,Fundamental,Sertão,João Pessoa,2019,5.34,81.8,6.84,0.092,0.57,59.4,0.63,0.99,0.8,0.51,93.3,-7.01469,-35.04425
10015,Escola Prof. Anísio Queiroz,Municipal,Fundamental,Sertão,João Pessoa,2020,5.39,78.1,4.9,0.09,0.51,51.6,0.81,0.95,0.43,0.74,87.6,-7.01469,-35.04425
10015,Escola Prof. Anísio Queiroz,Municipal,Fundamental,Sertão,João Pessoa,2021,5.55,80.5,6.44,0.074,0.47,45.5,0.88,0.99,0.68,0.89,87.3,-7.01469,-35.04425
10015,Escola Prof. Anísio Queiroz,Municipal,Fundamental,Sertão,João Pessoa,2022,6.21,82.3,7.71,0.081,0.55,24.8,0.68,1.01,0.51,0.69,98.3,-7.01469,-35.04425
10015,Escola Prof. Anísio Queiroz,Municipal,Fundamental,Sertão,João Pessoa,2023,5.53,81.5,5.11,0.081,0.6,46.7,0.79,1.04,0.53,0.7,89.9,-7.01469,-35.04425
10015,Escola Prof. Anísio Queiroz,Municipal,Fundamental,Sertão,João Pessoa,2024,5.97,79.6,5.53,0.073,0.48,31.4,0.79,1.02,0.52,0.52,100.0,-7.01469,-35.04425
10016,Escola Municipal Zélia Queiroz,Municipal,Médio,Borborema,João Pessoa,2019,5.75,99.5,6.26,0.066,0.61,28.2,0.73,1.03,0.71,0.69,89.1,-7.08151,-35.09706
10016,Escola Municipal Zélia Queiroz,Municipal,Médio,Borborema,João Pessoa,2020,5.14,97.6,6.74,0.062,0.43,40.3,0.88,0.81,0.61,0.67,90.4,-7.08151,-35.09706
10016,Escola Municipal Zélia Queiroz,Municipal,Médio,Borborema,João Pessoa,2021,5.64,98.2,6.46,0.07,0.28,31.5,0.65,0.9,0.46,0.71,91.7,-7.08151,-35.09706
10016,Escola Municipal Zélia Queiroz,Municipal,Médio,Borborema,João Pessoa,2022,6.01,97.5,4.51,0.063,0.34,47.8,0.83,0.93,0.8,0.81,89.1,-7.08151,-35.09706
10016,Escola Municipal Zélia Queiroz,Municipal,Médio,Borborema,João Pessoa,2023,5.5,99.5,6.27,0.079,0.4,45.1,0.95,0.93,0.67,0.46,86.7,-7.08151,-35.09706
10016,Escola Municipal Zélia Queiroz,Municipal,Médio,Borborema,João Pessoa,2024,5.74,97.7,5.51,0.084,0.36,29.2,0.95,1.02,0.67,0.56,95.7,-7.08151,-35.09706
10017,Escola Prof. Ariano Albuquerque,Municipal,Fundamental,Litoral,João Pessoa,2019,4.56,89.9,5.53,0.078,0.64,60.7,0.64,0.9,0.8,0.66,89.3,-7.066,-34.99028
10017,Escola Prof. Ariano Albuquerque,Municipal,Fundamental,Litoral,João Pessoa,2020,5.29,93.9,5.82,0.102,0.49,25.9,0.85,0.99,0.78,0.84,92.1,-7.066,-34.99028
10017,Escola Prof. Ariano Albuquerque,Municipal,Fundamental,Litoral,João Pessoa,2021,4.74,98.7,6.25,0.076,0.6,37.8,0.65,0.93,0.76,0.61,87.8,-7.066,-34.99028
10017,Escola Prof. Ariano Albuquerque,Municipal,Fundamental,Litoral,João Pessoa,2022,5.19,95.2,5.46,0.066,0.73,57.5,0.75,0.97,0.78,0.74,93.8,-7.066,-34.99028
10017,Escola Prof. Ariano Albuquerque,Municipal,Fundamental,Litoral,João Pessoa,2023,5.17,91.9,6.34,0.095,0.4,42.6,0.83,1.03,0.58,0.6,87.8,-7.066,-34.99028
10017,Escola Prof. Ariano Albuquerque,Municipal,Fundamental,Litoral,João Pessoa,2024,4.97,91.2,5.65,0.083,0.68,47.2,0.87,0.95,0.6,0.71,91.0,-7.066,-34.99028
10018,Escola Colégio Nabuco Pessoa,Municipal,Fundamental,Sertão,João Pessoa,2019,4.57,81.6,4.31,0.07,0.76,8.4,0.86,1.02,0.52,0.7,96.0,-7.03933,-34.96735
10018,Escola Colégio Nabuco Pessoa,Municipal,Fundamental,Sertão,João Pessoa,2020,4.71,90.5,4.52,0.085,0.67,40.1,0.69,0.95,0.66,0.76,96.4,-7.03933,-34.96735
10018,Escola Colégio Nabuco Pessoa,Municipal,Fundamental,Sertão,João Pessoa,2021,5.16,82.5,5.44,0.096,0.8,74.4,0.8,0.99,0.72,0.76,96.5,-7.03933,-34.96735
10018,Escola Colégio Nabuco Pessoa,Municipal,Fundamental,Sertão,João Pessoa,2022,5.19,82.2,4.23,0.096,0.65,16.2,0.71,1.01,0.67,0.59,90.3,-7.03933,-34.96735
10018,Escola Colégio Nabuco Pessoa,Municipal,Fundamental,Sertão,João Pessoa,2023,4.96,92.4,4.19,0.078,0.75,30.2,0.76,0.99,0.92,0.65,90.8,-7.03933,-34.96735
10018,Escola Colégio Nabuco Pessoa,Municipal,Fundamental,Sertão,João Pessoa,2024,4.74,87.8,3.4,0.086,0.64,27.6,0.55,1.0,0.66,0.62,89.4,-7.03933,-34.96735
10019,Escola Municipal Nabuco Queiroz,Estadual,Médio,Borborema,João Pessoa,2019,4.66,95.6,6.95,0.075,0.58,47.2,0.95,1.06,0.67,0.7,90.4,-7.19221,-34.98315
10019,Escola Municipal Nabuco Queiroz,Estadual,Médio,Borborema,João Pessoa,2020,3.92,84.9,6.24,0.072,0.61,65.0,0.73,0.99,0.59,0.58,91.8,-7.19221,-34.98315
10019,Escola Municipal Nabuco Queiroz,Estadual,Médio,Borborema,João Pessoa,2021,4.26,90.7,5.31,0.065,0.6,70.7,0.8,0.97,0.64,0.63,84.2,-7.19221,-34.98315
10019,Escola Municipal Nabuco Queiroz,Estadual,Médio,Borborema,João Pessoa,2022,4.47,94.1,6.55,0.074,0.54,85.3,0.9,0.96,0.69,0.81,93.6,-7.19221,-34.98315
10019,Escola Municipal Nabuco Queiroz,Estadual,Médio,Borborema,João Pessoa,2023,4.5,92.7,5.87,0.073,0.36,58.0,0.7,0.97,0.68,0.87,96.0,-7.19221,-34.98315
10019,Escola Municipal Nabuco Queiroz,Estadual,Médio,Borborema,João Pessoa,2024,5.07,90.0,7.13,0.068,0.63,77.3,0.82,0.94,0.6,0.67,91.5,-7.19221,-34.98315
10020,Escola Municipal Zélia Pessoa,Municipal,Fundamental,Sertão,João Pessoa,2019,4.9,89.1,5.3,0.075,0.8,24.7,0.79,1.01,0.66,0.84,88.4,-7.08371,-35.00049
10020,Escola Municipal Zélia Pessoa,Municipal,Fundamental,Sertão,João Pessoa,2020,4.62,92.3,5.58,0.072,0.74,5.0,0.7,0.97,0.46,0.65,97.1,-7.08371,-35.00049
10020,Escola Municipal Zélia Pessoa,Municipal,Fundamental,Sertão,João Pessoa,2021,4.61,83.9,6.35,0.08,0.77,49.4,0.98,0.89,0.67,0.57,95.2,-7.08371,-35.00049
10020,Escola Municipal Zélia Pessoa,Municipal,Fundamental,Sertão,João Pessoa,2022,4.66,86.6,5.92,0.094,0.82,23.1,0.72,1.03,0.52,0.79,92.0,-7.08371,-35.00049
10020,Escola Municipal Zélia Pessoa,Municipal,Fundamental,Sertão,João Pessoa,2023,4.9,89.5,5.17,0.075,0.85,43.4,0.81,0.98,0.47,0.58,93.1,-7.08371,-35.00049
10020,Escola Municipal Zélia Pessoa,Municipal,Fundamental,Sertão,João Pessoa,2024,4.76,88.5,5.95,0.064,0.7,37.4,0.72,1.06,0.65,0.72,93.8,-7.08371,-35.00049
10021,Escola Estadual Paulo Freire Pereira,Municipal,Fundamental,Mata,João Pessoa,2019,4.48,93.9,6.5,0.075,0.56,46.7,0.92,1.03,0.39,0.69,96.1,-7.10721,-35.02186
10021,Escola Estadual Paulo Freire Pereira,Municipal,Fundamental,Mata,João Pessoa,2020,4.99,91.2,6.69,0.083,0.75,44.8,0.68,0.99,0.42,0.45,92.6,-7.10721,-35.02186
10021,Escola Estadual Paulo Freire Pereira,Municipal,Fundamental,Mata,João Pessoa,2021,4.85,94.8,5.23,0.078,0.62,41.3,0.74,1.02,0.64,0.71,95.6,-7.10721,-35.02186
10021,Escola Estadual Paulo Freire Pereira,Municipal,Fundamental,Mata,João Pessoa,2022,4.85,96.8,5.41,0.071,0.59,36.4,0.59,0.97,0.43,0.76,96.2,-7.10721,-35.02186
10021,Escola Estadual Paulo Freire Pereira,Municipal,Fundamental,Mata,João Pessoa,2023,5.22,98.8,6.06,0.087,0.76,25.3,0.79,0.96,0.53,0.68,93.4,-7.10721,-35.02186
10021,Escola Estadual Paulo Freire Pereira,Municipal,Fundamental,Mata,João Pessoa,2024,5.2,98.0,8.0,0.062,0.57,24.7,0.93,0.96,0.73,0.7,100.0,-7.10721,-35.02186
10022,Escola Colégio José Lins Queiroz,Municipal,Fundamental,Litoral,João Pessoa,2019,5.36,92.5,4.04,0.081,0.56,28.0,0.76,1.0,0.32,0.53,100.0,-7.17063,-35.0289
10022,Escola Colégio José Lins Queiroz,Municipal,Fundamental,Litoral,João Pessoa,2020,5.0,99.5,4.71,0.092,0.49,36.8,0.73,1.02,0.33,0.54,90.0,-7.17063,-35.0289
10022,Escola Colégio José Lins Queiroz,Municipal,Fundamental,Litoral,João Pessoa,2021,5.65,95.2,6.28,0.082,0.66,49.9,0.77,0.95,0.8,0.61,93.4,-7.17063,-35.0289
